benchmark,cloning_code,cloning_secs,cloning_kb,cloning_branches,versioned_code,versioned_secs,versioned_kb,versioned_branches,persistent_code,persistent_secs,persistent_kb,persistent_branches,colored_code,colored_secs,colored_kb,colored_branches
benchmarks/clam_goal15.smt2.th,0,.11,10460.00,13.00,0,.09,10044.00,13.00,0,.08,10472.00,13.00,0,1.01,10220.00,45.00
benchmarks/isaplanner_goal63.smt2.th,0,.11,11072.00,19.00,0,.11,10268.00,19.00,0,.13,11204.00,19.00,0,1.17,10808.00,63.00
benchmarks/clam_goal58.smt2.th,0,.95,14332.00,13.00,0,1.56,17556.00,13.00,0,1.10,20240.00,13.00,0,3.50,17168.00,45.00
benchmarks/clam_goal59.smt2.th,0,1.08,14292.00,13.00,0,1.64,17408.00,13.00,0,1.03,20648.00,13.00,0,3.69,17148.00,45.00
benchmarks/clam_goal60.smt2.th,0,.95,14588.00,13.00,0,1.62,17552.00,13.00,0,1.05,20620.00,13.00,0,3.51,17068.00,45.00
benchmarks/clam_goal79.smt2.th,0,1.00,14672.00,13.00,0,1.60,17428.00,13.00,0,1.12,20564.00,13.00,0,3.50,17000.00,45.00
benchmarks/clam_goal80.smt2.th,0,.97,14596.00,13.00,0,1.62,17808.00,13.00,0,1.07,20788.00,13.00,0,3.64,17276.00,45.00
benchmarks/sg_clam_goal-sg17.smt2.th,0,.96,16040.00,13.00,0,1.54,18584.00,13.00,0,.95,20916.00,13.00,0,3.60,17424.00,45.00
benchmarks/sg_clam_goal-sg19.smt2.th,0,1.08,16280.00,13.00,0,1.67,18460.00,13.00,0,1.17,20780.00,13.00,0,4.10,17428.00,45.00
benchmarks/sg_clam_goal-sg10.smt2.th,0,1.06,16320.00,13.00,0,1.56,18568.00,13.00,0,1.32,20752.00,13.00,0,3.52,16984.00,45.00
benchmarks/sg_clam_goal-sg80.smt2.th,0,1.24,16856.00,13.00,0,1.98,18776.00,13.00,0,1.52,20812.00,13.00,0,4.16,17492.00,45.00
benchmarks/sg_clam_goal-sg30.smt2.th,0,1.22,18024.00,13.00,0,1.72,17416.00,13.00,0,1.55,21124.00,13.00,0,4.94,17132.00,45.00
benchmarks/sg_clam_goal-sg1.smt2.th,0,.09,10712.00,13.00,0,.11,10124.00,13.00,0,.10,11172.00,13.00,0,1.31,10612.00,45.00
benchmarks/sg_clam_goal-sg79.smt2.th,0,1.05,15228.00,13.00,0,2.07,17820.00,13.00,0,1.42,20692.00,13.00,0,3.80,16508.00,45.00
benchmarks/sg_clam_goal-sg11.smt2.th,0,1.56,16392.00,13.00,0,2.00,20104.00,13.00,0,1.36,22300.00,13.00,0,4.77,18184.00,45.00
benchmarks/isaplanner_goal75.smt2.th,0,1.23,15628.00,13.00,0,2.05,19264.00,13.00,0,1.33,22380.00,13.00,0,4.17,18840.00,45.00
benchmarks/sg_clam_goal-sg5.smt2.th,0,1.54,16260.00,13.00,0,2.38,18616.00,13.00,0,1.70,21372.00,13.00,0,4.40,17840.00,45.00
benchmarks/clam_goal50.smt2.th,0,2.37,39504.00,161.00,0,2.06,16220.00,169.00,0,3.60,60716.00,185.00,101,12.99,12344.00,0
benchmarks/sg_clam_goal-sg6.smt2.th,0,1.34,16640.00,13.00,0,2.18,18908.00,13.00,0,1.60,22048.00,13.00,0,5.15,18472.00,45.00
benchmarks/clam_goal70.smt2.th,0,3.00,42172.00,169.00,0,1.92,16732.00,167.00,0,4.40,64716.00,165.00,101,11.99,12296.00,0
benchmarks/clam_goal71.smt2.th,0,3.42,44132.00,181.00,0,1.75,15976.00,161.00,0,4.77,66056.00,205.00,101,18.89,12168.00,0
benchmarks/isaplanner_goal53.smt2.th,0,2.50,39400.00,161.00,0,2.09,16236.00,169.00,0,2.74,44580.00,165.00,101,14.82,12172.00,0
benchmarks/sg_clam_goal-sg18.smt2.th,0,1.99,16480.00,13.00,0,2.20,17956.00,13.00,0,1.76,21604.00,13.00,101,.44,10844.00,0
benchmarks/clam_goal16.smt2.th,0,.12,10488.00,13.00,0,.12,10052.00,13.00,0,.09,10400.00,13.00,101,.16,10624.00,0
benchmarks/isaplanner_goal38.smt2.th,0,.51,13976.00,25.00,0,.79,13896.00,25.00,0,5.26,25960.00,25.00,101,.16,10724.00,0
benchmarks/clam_goal14.smt2.th,0,4.48,43340.00,169.00,0,2.67,15704.00,169.00,0,3.73,54408.00,165.00,101,42.13,12688.00,0
benchmarks/sg_clam_goal-sg23.smt2.th,0,.87,14264.00,13.00,0,1.01,17836.00,13.00,0,3.25,106956.00,13.00,101,.17,10872.00,0
benchmarks/clam_goal62.smt2.th,0,4.20,42292.00,165.00,0,3.00,17740.00,169.00,0,3.51,55488.00,169.00,101,44.17,12436.00,0
benchmarks/isaplanner_goal77.smt2.th,0,2.51,18064.00,25.00,0,3.49,17220.00,25.00,0,.58,17208.00,25.00,101,.18,10956.00,0
benchmarks/isaplanner_goal80.smt2.th,0,6.57,45932.00,169.00,0,2.43,14432.00,165.00,0,3.93,55524.00,169.00,101,39.66,12252.00,0
benchmarks/isaplanner_goal2.smt2.th,0,2.66,19008.00,25.00,0,8.11,19748.00,25.00,0,1.99,21272.00,25.00,101,.28,11000.00,0
benchmarks/sg_clam_goal-sg20.smt2.th,0,.77,15964.00,13.00,0,14.64,282384.00,13.00,0,.91,22916.00,13.00,101,6.81,20444.00,0
benchmarks/clam_goal12.smt2.th,0,3.88,33464.00,13.00,0,6.15,41348.00,13.00,0,4.18,40960.00,13.00,0,38.03,69428.00,45.00
benchmarks/sg_clam_goal-sg4.smt2.th,0,.74,15376.00,13.00,0,14.87,287512.00,13.00,0,4.64,118288.00,13.00,0,14.81,79508.00,45.00
benchmarks/clam_goal24.smt2.th,0,.11,10488.00,13.00,0,.11,10140.00,13.00,0,.09,10516.00,13.00,101,.17,10648.00,0
benchmarks/clam_goal82.smt2.th,0,3.54,32404.00,13.00,0,5.74,35712.00,13.00,0,3.68,44184.00,13.00,0,23.55,58616.00,45.00
benchmarks/sg_clam_goal-sg2.smt2.th,0,.90,15220.00,13.00,0,6.95,125044.00,13.00,0,.92,22912.00,13.00,0,13.70,77776.00,45.00
benchmarks/clam_goal75.smt2.th,0,4.70,33972.00,13.00,0,5.18,39632.00,13.00,0,4.10,46192.00,13.00,0,40.50,70128.00,45.00
benchmarks/clam_goal81.smt2.th,0,7.16,49568.00,13.00,0,6.32,39484.00,13.00,0,3.50,48844.00,13.00,0,22.27,57084.00,45.00
benchmarks/clam_goal78.smt2.th,0,3.82,34792.00,13.00,0,3.73,35216.00,13.00,0,4.62,42936.00,13.00,0,22.71,57244.00,45.00
benchmarks/sg_clam_goal-sg78.smt2.th,0,5.28,39160.00,13.00,0,4.46,36220.00,13.00,0,5.11,52144.00,13.00,0,46.51,74316.00,45.00
benchmarks/clam_goal29.smt2.th,0,3.80,28236.00,13.00,0,4.99,40012.00,13.00,0,4.17,45680.00,13.00,0,23.75,57904.00,45.00
benchmarks/sg_clam_goal-sg82.smt2.th,0,2.86,32308.00,13.00,0,5.92,52908.00,13.00,0,4.54,43408.00,13.00,0,47.85,73140.00,45.00
benchmarks/clam_goal31.smt2.th,0,3.39,32148.00,13.00,0,4.99,39968.00,13.00,0,3.37,41392.00,13.00,0,35.66,66384.00,45.00
benchmarks/clam_goal48.smt2.th,0,11.37,78496.00,283.00,0,5.68,21072.00,279.00,0,11.84,104828.00,275.00,101,40.21,12416.00,0
benchmarks/clam_goal66.smt2.th,0,.10,10584.00,13.00,0,.12,10132.00,13.00,0,.09,10428.00,13.00,101,.18,10628.00,0
benchmarks/clam_goal68.smt2.th,0,10.93,74428.00,271.00,0,6.06,21208.00,281.00,0,12.75,109204.00,277.00,101,33.28,12164.00,0
benchmarks/isaplanner_goal15.smt2.th,0,9.65,76508.00,281.00,0,5.55,21076.00,275.00,0,13.60,109004.00,279.00,101,40.99,12032.00,0
